20	17	E	-1.3081369295399807E7	200
transitionprobs	12	6	1.4292826140837505E-4
transitionprobs	12	7	7.765350904098164E-7
transitionprobs	12	8	0.0
transitionprobs	12	9	0.02323687986348113
transitionprobs	12	10	0.0
transitionprobs	12	11	0.08560366985814254
transitionprobs	12	12	0.6223355479044337
transitionprobs	12	13	0.17667227180780828
transitionprobs	12	14	0.009025955227020084
transitionprobs	12	15	0.0
transitionprobs	12	16	0.004291368523030669
transitionprobs	12	17	0.03589242686085957
transitionprobs	12	18	0.007854501836158457
transitionprobs	12	19	0.0
transitionprobs	12	20	0.022201325785384314
transitionprobs	13	1	0.0018724064044708282
transitionprobs	13	2	0.0
transitionprobs	13	3	0.009102028174510765
transitionprobs	13	4	0.0
transitionprobs	13	5	1.0130908878947982E-5
transitionprobs	13	6	0.0013885602467857213
transitionprobs	13	7	0.007150610147265307
transitionprobs	13	8	0.0020626891658376448
transitionprobs	13	9	0.14712345471041005
transitionprobs	13	10	0.0
transitionprobs	13	11	0.015546914575967182
transitionprobs	13	12	0.05071756902340614
transitionprobs	13	13	0.7288420165049221
transitionprobs	13	14	0.02287999986035829
transitionprobs	13	15	0.0
transitionprobs	13	16	0.0
transitionprobs	13	17	0.005695732842576931
transitionprobs	13	18	1.1028830955885264E-4
transitionprobs	13	19	0.0018833621576027535
transitionprobs	13	20	0.00561423696744848
transitionprobs	14	1	0.003364907990902674
transitionprobs	14	2	0.014827591387089835
transitionprobs	14	3	2.568889562986256E-4
transitionprobs	14	4	0.0034794231800899782
transitionprobs	14	5	0.0
transitionprobs	14	6	0.006641271074546691
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0011675058130563303
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.01149242880914932
transitionprobs	14	13	0.10423222826664838
transitionprobs	14	14	0.8061669506106712
transitionprobs	14	15	0.007519714060602163
transitionprobs	14	16	0.0
transitionprobs	14	17	0.037891164788658456
transitionprobs	14	18	0.0
transitionprobs	14	19	0.0
transitionprobs	14	20	0.002959925062286624
transitionprobs	15	1	0.10580939561626862
transitionprobs	15	2	0.02151717291740152
transitionprobs	15	3	0.0
transitionprobs	15	4	0.001521738662643086
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	0.011804287482549584
transitionprobs	15	15	0.7741918423919687
transitionprobs	15	16	0.06964269655664378
transitionprobs	15	17	0.015512866372524713
transitionprobs	15	18	0.0
transitionprobs	15	19	0.0
transitionprobs	15	20	0.0
transitionprobs	16	1	0.0
transitionprobs	16	2	0.0
transitionprobs	16	3	0.0
transitionprobs	16	4	0.0
transitionprobs	16	5	0.0
transitionprobs	16	6	0.0
transitionprobs	16	7	0.0
transitionprobs	16	8	0.0
transitionprobs	16	9	3.861974346773458E-4
transitionprobs	16	10	0.0
transitionprobs	16	11	0.0
transitionprobs	16	12	0.006547040020921941
transitionprobs	16	13	0.0
transitionprobs	16	14	0.0
transitionprobs	16	15	0.057325780165503964
transitionprobs	16	16	0.7919581741898323
transitionprobs	16	17	0.12552710464469097
transitionprobs	16	18	0.01795694730173097
transitionprobs	16	19	0.0
transitionprobs	16	20	2.987562426425935E-4
transitionprobs	17	1	0.013017838583826411
transitionprobs	17	2	0.0022613294005934047
transitionprobs	17	3	0.0012686422864544265
transitionprobs	17	4	0.02258581109079822
transitionprobs	17	5	8.151568849533782E-5
transitionprobs	17	6	0.0044663099314784585
transitionprobs	17	7	0.03549090535126358
transitionprobs	17	8	0.0
transitionprobs	17	9	0.06479989827869412
transitionprobs	17	10	0.008868544528086244
transitionprobs	17	11	0.00405600103969953
transitionprobs	17	12	0.057182578429001714
transitionprobs	17	13	0.031797535393521266
