HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ_HM	ENET_RSQ_CM	ENET_RSQ_PROD
SMC1	SMC3	1	1	6	0.448813330175043	0.322175957875077	0.144596864556248
SOX2	TCF3	1	1	6	0.649295017123966	0.408368362206598	0.265151542731819
ZC3H11A	ZNF384	1	1	6	0.467236451285202	0.393907321043828	0.184047858819779
CBX3	MBD2T	1	1	7	0.07918236835423	0.156281402942736	0.0123747316147276
CBX7	RYBP	1	1	7	0.22313380803508	0.255930121061683	0.0571066625033724
C_MYC	E2F1	1	1	7	0.28681900109164	0.367707896582051	0.105465611591172
C_MYC	KLF4	1	1	7	0.28681900109164	0.434710720405079	0.124683294590412
C_MYC	N_MYC	1	1	7	0.28681900109164	0.370070988550629	0.106143391269087
C_MYC	STAT3	1	1	7	0.28681900109164	0.267712263240486	0.0767849639226182
E2F1	KLF4	1	1	7	0.367707896582051	0.434710720405079	0.15984656462182
E2F1	N_MYC	1	1	7	0.367707896582051	0.370070988550629	0.136078024785992
E2F1	STAT3	1	1	7	0.367707896582051	0.267712263240486	0.0984399132053794
ESRRB	TCFCP2I1	1	1	7	0.202946613698921	0.226973706326738	0.0460635450977049
EZH2	G9A	1	1	7	0.0850985506281397	0.173528218016328	0.0147669998462733
G9A	MBD2T	0	0	7	0.173528218016328	0.156281402942736	0.0271192333617448
HCFC1	MAFK	1	1	7	0.485005638866545	0.434913541433396	0.210935520014616
HCFC1	ZC3H11A	1	1	7	0.485005638866545	0.430448164551769	0.208769787047363
HCFC1	ZNF384	1	1	7	0.485005638866545	0.480024131201479	0.232814410424732
HDAC1	HDAC2	1	1	7	0.329005823511935	0.335223714315417	0.110290554189073
HDAC1	SUZ12	1	1	7	0.329005823511935	0.375849164887246	0.123656564010001
HDAC1	TCF3	1	1	7	0.329005823511935	0.320243355263953	0.105361928822842
HDAC2	SUZ12	1	1	7	0.335223714315417	0.375849164887246	0.12599355307585
HDAC2	TCF3	1	1	7	0.335223714315417	0.320243355263953	0.107353167036414
KDM2A	KDM2B	1	1	7	0.222356979581082	0.22254979905552	0.0494855011243621
KLF4	N_MYC	1	1	7	0.434710720405079	0.370070988550629	0.160873826033864
KLF4	STAT3	1	1	7	0.434710720405079	0.267712263240486	0.116377390814546
MAFK	ZC3H11A	1	1	7	0.434913541433396	0.430448164551769	0.187207735648715
MAFK	ZNF384	1	1	7	0.434913541433396	0.480024131201479	0.208768994874324
MBD2T	TAF1	0	0	7	0.156281402942736	0.0627541266522659	0.00980730295366229
MED12	MED1	1	1	7	0.184036516378949	0.173341721206629	0.0319012065139991
MED12	NIPBL	1	1	7	0.184036516378949	0.195226992167984	0.0359288955417362
MED12	SETDB1	1	1	7	0.184036516378949	0.187426392955745	0.0344933004370473
MED12	SMC1	1	1	7	0.184036516378949	0.165952538438269	0.0305413270584228
MED12	SMC3	1	1	7	0.184036516378949	0.155170935413416	0.028557118396748
MED1	NIPBL	1	1	7	0.173341721206629	0.195226992167984	0.0338409828483916
MED1	SETDB1	1	1	7	0.173341721206629	0.187426392955745	0.0324888135544989
MED1	SMC1	1	1	7	0.173341721206629	0.165952538438269	0.0287664986514989
MED1	SMC3	1	1	7	0.173341721206629	0.155170935413416	0.0268975970258043
NANOG	OCT4	1	1	7	0.361822113669486	0.400916354703617	0.145060402863528
NANOG	SOX2	1	1	7	0.361822113669486	0.381898426711993	0.138179295959985
NANOG	TCF3	1	1	7	0.361822113669486	0.320243355263953	0.115871127690211
